weather_condition,phase_of_flight,aircraft_damage,number_of_engines,fatal_injuries,serious_injuries,minor_injuries,uninjured,emergency_type,severity_score,risk_level,atc_action,response_time_minutes
VMC,Takeoff,None,2,0,0,1,43,Bird Strike,46.5,Medium,Continue Monitoring,13.0
VMC,Approach,None,2,0,0,1,241,Landing Gear Issue,38.5,Medium,Continue Monitoring,10.7
VMC,Landing,Destroyed,4,0,0,1,76,Cabin Pressure Failure,100.0,Critical,Priority Landing,21.4
VMC,Cruise,Minor,4,0,0,0,24,Near Collision,61.0,High,Go Around,17.8
VMC,Takeoff,None,2,0,1,3,209,Bird Strike,53.5,Medium,Continue Monitoring,12.6
VMC,Cruise,Minor,4,0,0,1,138,Medical Emergency,38.5,Medium,Continue Monitoring,12.7
Windy,Taxi,Destroyed,4,0,0,1,114,Near Collision,100.0,Critical,Priority Landing,18.6
VMC,Climb,Substantial,2,1,0,0,66,Medical Emergency,71.0,High,Holding Pattern,19.7
IMC,Takeoff,Minor,1,1,1,1,115,Landing Gear Issue,81.0,Critical,Priority Landing,26.3
IMC,Takeoff,None,2,0,1,1,161,Runway Incursion,58.5,High,Runway Change,22.5
VMC,Landing,Minor,1,0,0,2,53,Bird Strike,63.5,High,Runway Change,18.1
VMC,Takeoff,Substantial,1,0,0,2,237,Runway Incursion,74.5,High,Runway Change,18.8
Fog,Approach,Substantial,4,0,0,4,186,Medical Emergency,85.0,Critical,Priority Landing,21.9
Fog,Taxi,Substantial,2,2,2,2,221,Cabin Pressure Failure,100.0,Critical,Priority Landing,28.9
VMC,Approach,Minor,2,0,0,2,30,Medical Emergency,50.0,Medium,Continue Monitoring,12.9
VMC,Cruise,None,2,0,0,2,219,Near Collision,55.0,High,Go Around,16.8
VMC,Climb,Minor,2,0,1,0,219,Medical Emergency,48.0,Medium,Continue Monitoring,15.1
IMC,Takeoff,None,2,0,0,1,104,Medical Emergency,52.5,Medium,Continue Monitoring,17.6
Rain,Takeoff,None,2,0,0,1,151,Cabin Pressure Failure,72.5,High,Emergency Descent,16.2
VMC,Taxi,Minor,2,0,1,0,135,Bird Strike,48.0,Medium,Continue Monitoring,12.5
VMC,Takeoff,Minor,2,0,0,0,210,Medical Emergency,50.0,Medium,Continue Monitoring,10.8
Windy,Takeoff,Substantial,2,0,1,0,84,Engine Failure,100.0,Critical,Priority Landing,21.3
VMC,Landing,Substantial,2,0,1,1,231,Engine Failure,92.5,Critical,Priority Landing,25.2
IMC,Cruise,Substantial,1,1,0,0,147,Near Collision,100.0,Critical,Priority Landing,28.9
Rain,Cruise,Substantial,2,0,0,2,20,Fuel Low,84.0,Critical,Priority Landing,21.6
VMC,Landing,Minor,2,0,0,1,89,Near Collision,77.5,High,Go Around,19.0
VMC,Approach,None,2,0,0,5,52,Runway Incursion,44.5,Medium,Continue Monitoring,13.4
VMC,Taxi,Minor,3,0,0,2,206,Near Collision,62.5,High,Go Around,13.0
Windy,Cruise,None,2,0,0,3,114,Medical Emergency,45.5,Medium,Continue Monitoring,14.8
VMC,Landing,None,4,0,0,1,126,Cabin Pressure Failure,58.5,High,Emergency Descent,16.4
VMC,Taxi,None,4,0,1,1,100,Runway Incursion,29.5,Low,Continue Monitoring,9.8
VMC,Cruise,Substantial,2,0,0,1,181,Fuel Low,69.5,High,Holding Pattern,19.8
VMC,Climb,Minor,2,0,0,1,248,Medical Emergency,45.5,Medium,Continue Monitoring,18.3
Rain,Taxi,Substantial,1,1,0,2,220,Bird Strike,88.5,Critical,Priority Landing,18.6
VMC,Climb,Destroyed,4,0,1,2,247,Bird Strike,88.0,Critical,Priority Landing,23.0
IMC,Takeoff,Substantial,2,0,2,1,88,Engine Failure,100.0,Critical,Priority Landing,25.0
IMC,Approach,None,1,0,0,0,172,Engine Failure,66.5,High,Runway Change,23.0
Fog,Taxi,Substantial,2,0,1,1,163,Bird Strike,84.5,Critical,Priority Landing,19.3
VMC,Takeoff,Substantial,1,0,0,2,89,Runway Incursion,74.5,High,Runway Change,16.1
Windy,Taxi,Substantial,2,0,0,3,214,Near Collision,96.5,Critical,Priority Landing,20.3
Rain,Landing,None,2,1,0,0,231,Engine Failure,79.0,High,Runway Change,19.5
VMC,Taxi,None,1,0,1,3,238,Runway Incursion,37.0,Medium,Continue Monitoring,11.9
Fog,Cruise,Substantial,3,0,0,1,247,Runway Incursion,77.0,High,Holding Pattern,27.7
Windy,Climb,None,2,1,0,2,57,Landing Gear Issue,59.0,High,Holding Pattern,14.5
VMC,Approach,None,2,0,2,0,53,Landing Gear Issue,45.0,Medium,Continue Monitoring,13.6
Windy,Takeoff,Minor,2,0,0,0,176,Engine Failure,80.0,Critical,Priority Landing,17.8
IMC,Taxi,None,4,0,0,0,186,Cabin Pressure Failure,55.0,High,Emergency Descent,16.6
Rain,Approach,None,2,0,0,0,120,Runway Incursion,50.0,Medium,Continue Monitoring,14.1
Storm,Cruise,Destroyed,4,0,0,0,57,Bird Strike,100.0,Critical,Priority Landing,27.2
VMC,Approach,Substantial,2,0,0,1,85,Cabin Pressure Failure,86.5,Critical,Priority Landing,15.4
Fog,Landing,Substantial,4,0,1,1,49,Engine Failure,100.0,Critical,Priority Landing,25.3
VMC,Approach,None,2,0,0,0,56,Fuel Low,45.0,Medium,Continue Monitoring,9.1
Fog,Taxi,None,2,0,0,1,63,Landing Gear Issue,45.5,Medium,Continue Monitoring,14.9
Rain,Taxi,None,1,0,0,0,154,Near Collision,63.5,High,Go Around,16.2
VMC,Taxi,Minor,4,1,0,2,138,Fuel Low,56.0,High,Runway Change,14.7
VMC,Approach,None,4,1,0,1,96,Landing Gear Issue,44.5,Medium,Continue Monitoring,15.2
VMC,Landing,Substantial,2,0,0,0,144,Bird Strike,77.0,High,Runway Change,17.5
VMC,Climb,Destroyed,2,0,0,0,173,Medical Emergency,77.0,High,Holding Pattern,17.8
VMC,Takeoff,Minor,2,0,2,2,42,Medical Emergency,61.0,High,Runway Change,13.5
VMC,Cruise,None,2,0,1,2,84,Near Collision,59.0,High,Go Around,15.8
VMC,Taxi,None,2,0,2,1,66,Fuel Low,44.5,Medium,Continue Monitoring,9.6
VMC,Takeoff,None,2,1,0,2,20,Fuel Low,60.0,High,Runway Change,15.7
Rain,Approach,None,2,1,0,1,46,Near Collision,82.5,Critical,Priority Landing,17.6
Rain,Climb,Minor,1,0,0,0,196,Bird Strike,65.5,High,Holding Pattern,14.8
Rain,Cruise,None,4,0,0,1,221,Bird Strike,46.5,Medium,Continue Monitoring,16.8
VMC,Takeoff,Minor,1,0,0,0,57,Bird Strike,58.5,High,Runway Change,14.3
Windy,Landing,Substantial,2,0,1,0,196,Fuel Low,97.0,Critical,Priority Landing,22.2
IMC,Landing,None,1,0,0,1,78,Engine Failure,73.0,High,Runway Change,21.4
VMC,Landing,None,1,0,0,2,52,Engine Failure,61.5,High,Runway Change,16.3
VMC,Landing,None,1,0,1,0,74,Near Collision,69.5,High,Go Around,16.6
Rain,Climb,None,2,0,0,1,231,Cabin Pressure Failure,66.5,High,Emergency Descent,21.4
VMC,Approach,Minor,2,1,1,3,98,Bird Strike,71.5,High,Runway Change,17.7
IMC,Takeoff,Substantial,2,0,0,1,190,Fuel Low,92.5,Critical,Priority Landing,25.4
Storm,Cruise,Substantial,2,0,0,0,131,Near Collision,100.0,Critical,Priority Landing,29.8
VMC,Approach,Minor,2,0,0,3,120,Runway Incursion,53.5,Medium,Continue Monitoring,10.7
VMC,Landing,None,1,1,1,2,206,Runway Incursion,59.5,High,Runway Change,14.4
Storm,Takeoff,None,1,0,0,1,248,Bird Strike,73.0,High,Runway Change,20.6
IMC,Landing,None,2,0,0,1,169,Runway Incursion,56.5,High,Runway Change,18.6
VMC,Cruise,None,2,0,2,0,215,Medical Emergency,36.0,Medium,Continue Monitoring,10.8
Windy,Taxi,Substantial,2,0,0,1,53,Fuel Low,79.5,High,Runway Change,21.6
Windy,Approach,Minor,2,0,0,0,227,Cabin Pressure Failure,80.0,Critical,Priority Landing,18.6
IMC,Approach,None,3,0,1,0,62,Engine Failure,67.5,High,Runway Change,17.7
Rain,Landing,None,1,0,0,1,63,Medical Emergency,56.0,High,Runway Change,10.7
VMC,Landing,None,2,0,0,2,214,Medical Emergency,43.0,Medium,Continue Monitoring,11.2
VMC,Takeoff,Substantial,1,0,1,1,131,Cabin Pressure Failure,95.0,Critical,Priority Landing,20.9
IMC,Approach,None,2,1,0,6,77,Bird Strike,73.0,High,Runway Change,19.7
VMC,Takeoff,None,2,1,1,1,26,Engine Failure,69.5,High,Runway Change,16.7
Rain,Cruise,None,2,0,0,0,70,Fuel Low,51.0,Medium,Continue Monitoring,14.9
Fog,Landing,Substantial,1,0,0,1,209,Landing Gear Issue,92.0,Critical,Priority Landing,25.7
VMC,Taxi,Minor,2,0,0,1,20,Cabin Pressure Failure,58.5,High,Emergency Descent,13.1
IMC,Climb,Minor,1,0,0,2,231,Cabin Pressure Failure,81.5,Critical,Priority Landing,25.6
VMC,Cruise,None,2,0,0,1,198,Near Collision,53.5,Medium,Go Around,18.6
Windy,Approach,None,1,1,0,2,67,Cabin Pressure Failure,81.5,Critical,Priority Landing,23.8
VMC,Cruise,Substantial,1,0,0,0,189,Bird Strike,66.5,High,Holding Pattern,17.0
Rain,Climb,None,2,0,1,1,139,Landing Gear Issue,52.5,Medium,Continue Monitoring,15.5
IMC,Climb,None,1,0,1,1,99,Bird Strike,59.0,High,Holding Pattern,19.9
VMC,Cruise,Minor,2,0,0,2,136,Near Collision,67.0,High,Go Around,20.6
Rain,Approach,None,3,0,0,0,21,Runway Incursion,48.5,Medium,Continue Monitoring,10.4
Rain,Taxi,None,3,0,0,1,222,Near Collision,62.0,High,Go Around,14.2
IMC,Approach,Substantial,4,0,0,0,200,Landing Gear Issue,77.0,High,Runway Change,21.8
Fog,Cruise,Minor,2,0,0,1,61,Bird Strike,65.5,High,Holding Pattern,20.8
Storm,Approach,None,2,0,1,1,42,Near Collision,89.5,Critical,Priority Landing,22.2
VMC,Landing,None,2,0,0,1,117,Engine Failure,58.5,High,Runway Change,13.6
IMC,Cruise,Minor,1,0,1,1,125,Cabin Pressure Failure,80.0,Critical,Priority Landing,21.2
VMC,Cruise,None,2,0,0,2,197,Bird Strike,38.0,Medium,Continue Monitoring,10.9
Fog,Climb,None,1,0,0,1,213,Near Collision,76.0,High,Go Around,23.9
IMC,Taxi,Minor,4,0,1,3,34,Fuel Low,65.5,High,Runway Change,20.1
VMC,Taxi,Minor,2,0,2,1,76,Bird Strike,53.5,Medium,Continue Monitoring,13.3
VMC,Climb,Destroyed,2,0,3,1,154,Runway Incursion,92.5,Critical,Priority Landing,20.1
Windy,Cruise,None,2,0,1,0,107,Landing Gear Issue,47.0,Medium,Continue Monitoring,14.5
VMC,Climb,None,2,0,2,1,247,Bird Strike,48.5,Medium,Continue Monitoring,17.3
Rain,Taxi,Minor,2,0,0,1,171,Bird Strike,58.5,High,Runway Change,15.6
VMC,Takeoff,Minor,2,0,0,0,94,Engine Failure,67.0,High,Runway Change,15.9
Storm,Climb,None,2,0,2,3,174,Near Collision,93.5,Critical,Priority Landing,26.1
VMC,Climb,Minor,2,0,1,0,119,Landing Gear Issue,50.0,Medium,Continue Monitoring,17.3
VMC,Approach,None,2,0,1,0,126,Bird Strike,46.0,Medium,Continue Monitoring,11.1
Windy,Climb,Substantial,2,0,0,1,184,Medical Emergency,76.5,High,Holding Pattern,18.4
Windy,Approach,Substantial,2,1,0,1,119,Near Collision,100.0,Critical,Priority Landing,20.4
VMC,Landing,None,2,0,0,3,180,Medical Emergency,44.5,Medium,Continue Monitoring,14.9
IMC,Landing,Destroyed,4,2,0,0,116,Runway Incursion,100.0,Critical,Priority Landing,26.4
Rain,Takeoff,Destroyed,2,1,1,1,156,Runway Incursion,100.0,Critical,Priority Landing,24.3
Windy,Takeoff,None,2,0,1,1,131,Near Collision,80.5,Critical,Priority Landing,17.5
VMC,Takeoff,None,4,0,1,0,151,Near Collision,63.0,High,Go Around,17.2
IMC,Taxi,Minor,2,0,1,1,99,Medical Emergency,55.5,High,Runway Change,16.8
Rain,Approach,None,4,0,0,0,47,Medical Emergency,45.0,Medium,Continue Monitoring,11.8
Rain,Approach,None,2,0,0,1,78,Cabin Pressure Failure,69.5,High,Emergency Descent,21.5
Fog,Landing,None,2,0,0,1,101,Engine Failure,75.5,High,Runway Change,23.1
IMC,Approach,Destroyed,2,0,0,2,92,Cabin Pressure Failure,100.0,Critical,Priority Landing,25.0
VMC,Climb,None,1,0,0,0,116,Engine Failure,50.5,Medium,Continue Monitoring,15.9
Windy,Approach,Substantial,2,0,0,1,129,Near Collision,100.0,Critical,Priority Landing,22.7
Windy,Landing,None,1,1,1,1,77,Cabin Pressure Failure,89.0,Critical,Priority Landing,22.4
Fog,Takeoff,None,1,0,0,1,107,Medical Emergency,58.0,High,Runway Change,17.5
VMC,Approach,Substantial,2,0,0,1,84,Fuel Low,76.5,High,Runway Change,14.3
VMC,Cruise,None,2,0,0,1,154,Cabin Pressure Failure,49.5,Medium,Emergency Descent,15.4
Rain,Takeoff,None,2,0,0,1,129,Near Collision,76.5,High,Go Around,17.8
VMC,Climb,None,2,0,1,3,165,Near Collision,64.5,High,Go Around,18.8
Storm,Cruise,Minor,4,0,0,1,119,Landing Gear Issue,65.5,High,Holding Pattern,25.4
VMC,Cruise,None,2,0,0,0,249,Bird Strike,35.0,Medium,Continue Monitoring,13.9
Rain,Climb,None,2,0,0,2,131,Engine Failure,65.0,High,Holding Pattern,20.3
Windy,Approach,None,2,0,1,0,161,Near Collision,76.0,High,Go Around,15.5
VMC,Cruise,None,2,0,1,0,121,Bird Strike,39.0,Medium,Continue Monitoring,15.8
VMC,Cruise,None,2,0,0,0,188,Bird Strike,35.0,Medium,Continue Monitoring,17.5
Rain,Landing,Minor,4,1,0,0,148,Fuel Low,81.0,Critical,Priority Landing,20.1
IMC,Takeoff,None,2,0,1,1,42,Near Collision,80.5,Critical,Priority Landing,23.0
VMC,Cruise,None,2,1,0,2,187,Engine Failure,57.0,High,Holding Pattern,17.6
Rain,Takeoff,Minor,4,1,1,1,194,Medical Emergency,74.5,High,Runway Change,21.0
Windy,Taxi,Minor,2,0,0,0,112,Engine Failure,67.0,High,Runway Change,14.2
IMC,Climb,None,2,0,0,2,137,Runway Incursion,50.0,Medium,Continue Monitoring,19.8
VMC,Landing,None,2,0,0,1,22,Runway Incursion,43.5,Medium,Continue Monitoring,12.8
VMC,Climb,None,1,1,1,0,219,Engine Failure,63.5,High,Holding Pattern,19.9
VMC,Climb,Destroyed,2,1,0,1,199,Fuel Low,97.5,Critical,Priority Landing,23.7
VMC,Approach,None,3,2,0,0,243,Medical Emergency,51.5,Medium,Continue Monitoring,13.9
VMC,Landing,None,2,1,1,0,157,Medical Emergency,53.0,Medium,Continue Monitoring,13.0
Rain,Climb,None,2,0,0,1,72,Bird Strike,53.5,Medium,Continue Monitoring,16.9
VMC,Climb,None,2,0,1,1,86,Medical Emergency,37.5,Medium,Continue Monitoring,13.5
Storm,Taxi,None,1,0,1,1,233,Runway Incursion,59.0,High,Runway Change,16.3
VMC,Climb,None,4,0,0,2,29,Bird Strike,39.0,Medium,Continue Monitoring,14.0
VMC,Climb,Minor,1,0,2,1,174,Bird Strike,62.0,High,Holding Pattern,19.9
Fog,Landing,Minor,4,0,0,3,35,Medical Emergency,70.5,High,Runway Change,18.8
Windy,Takeoff,Minor,2,0,1,1,189,Medical Emergency,68.5,High,Runway Change,15.8
VMC,Taxi,Substantial,2,0,0,0,153,Fuel Low,65.0,High,Runway Change,17.0
VMC,Taxi,None,2,0,0,0,128,Engine Failure,42.0,Medium,Continue Monitoring,9.4
VMC,Taxi,Substantial,2,0,1,1,181,Engine Failure,77.5,High,Runway Change,18.3
IMC,Climb,Minor,2,2,1,1,101,Runway Incursion,82.5,Critical,Priority Landing,23.7
IMC,Takeoff,Substantial,3,0,1,2,151,Bird Strike,93.5,Critical,Priority Landing,27.1
VMC,Cruise,Minor,3,0,0,2,204,Fuel Low,51.5,Medium,Continue Monitoring,20.9
VMC,Cruise,None,2,1,1,2,125,Runway Incursion,46.0,Medium,Continue Monitoring,19.3
IMC,Taxi,None,2,0,0,2,25,Cabin Pressure Failure,61.0,High,Emergency Descent,18.5
Storm,Approach,None,4,0,0,2,248,Engine Failure,77.0,High,Runway Change,23.3
Rain,Taxi,None,3,0,0,1,144,Bird Strike,45.0,Medium,Continue Monitoring,12.3
IMC,Landing,Minor,2,0,1,0,118,Medical Emergency,69.0,High,Runway Change,20.6
VMC,Landing,None,1,0,1,3,36,Fuel Low,60.0,High,Runway Change,17.9
VMC,Takeoff,None,4,0,0,4,40,Landing Gear Issue,43.0,Medium,Continue Monitoring,9.1
VMC,Takeoff,Substantial,2,0,1,2,78,Engine Failure,92.0,Critical,Priority Landing,22.7
Fog,Takeoff,Minor,2,0,2,0,232,Engine Failure,92.0,Critical,Priority Landing,24.5
Windy,Approach,Minor,2,0,0,1,186,Cabin Pressure Failure,81.5,Critical,Priority Landing,21.5
Windy,Climb,None,2,0,0,1,115,Landing Gear Issue,48.5,Medium,Continue Monitoring,16.1
Storm,Taxi,Minor,3,0,1,2,193,Engine Failure,84.5,Critical,Priority Landing,21.9
Storm,Takeoff,Substantial,1,0,2,0,110,Runway Incursion,100.0,Critical,Priority Landing,26.6
Storm,Taxi,Minor,2,0,1,1,224,Landing Gear Issue,69.5,High,Runway Change,22.0
VMC,Landing,Minor,4,0,0,2,95,Medical Emergency,52.0,Medium,Continue Monitoring,13.4
VMC,Takeoff,Minor,4,0,0,1,184,Medical Emergency,48.5,Medium,Continue Monitoring,13.7
VMC,Takeoff,None,4,1,1,0,120,Landing Gear Issue,50.0,Medium,Continue Monitoring,12.0
IMC,Cruise,Minor,4,0,1,1,175,Near Collision,79.5,High,Go Around,21.0
VMC,Cruise,Destroyed,2,1,0,0,62,Cabin Pressure Failure,100.0,Critical,Priority Landing,26.8
Fog,Climb,None,4,0,2,4,237,Fuel Low,70.0,High,Holding Pattern,25.0
Rain,Approach,None,4,0,0,2,85,Landing Gear Issue,50.0,Medium,Continue Monitoring,13.3
IMC,Takeoff,None,2,0,0,0,143,Fuel Low,61.0,High,Runway Change,19.1
VMC,Takeoff,None,2,0,0,1,178,Medical Emergency,39.5,Medium,Continue Monitoring,13.2
VMC,Landing,Destroyed,1,0,1,0,170,Runway Incursion,92.5,Critical,Priority Landing,19.7
VMC,Taxi,Minor,2,0,0,1,147,Cabin Pressure Failure,58.5,High,Emergency Descent,13.1
Windy,Climb,None,2,0,1,0,219,Runway Incursion,51.0,Medium,Continue Monitoring,15.8
IMC,Taxi,None,2,0,1,1,243,Landing Gear Issue,45.5,Medium,Continue Monitoring,18.6
Rain,Cruise,None,2,0,0,1,195,Near Collision,66.5,High,Go Around,16.2
VMC,Cruise,None,2,1,0,1,62,Bird Strike,45.5,Medium,Continue Monitoring,17.6
VMC,Takeoff,Minor,1,0,0,1,197,Runway Incursion,55.0,High,Runway Change,12.6
VMC,Cruise,Substantial,4,0,1,2,135,Cabin Pressure Failure,82.0,Critical,Priority Landing,19.6
Fog,Cruise,Minor,2,0,0,1,143,Bird Strike,65.5,High,Holding Pattern,25.3
Fog,Approach,None,1,0,0,3,236,Engine Failure,75.0,High,Runway Change,21.3
VMC,Takeoff,Minor,1,0,0,1,141,Landing Gear Issue,55.0,High,Runway Change,11.3
Windy,Climb,Minor,4,0,0,1,215,Engine Failure,72.5,High,Holding Pattern,19.3
VMC,Cruise,None,4,1,0,1,169,Medical Emergency,35.5,Medium,Continue Monitoring,15.3
Windy,Takeoff,Minor,1,0,0,3,40,Landing Gear Issue,71.0,High,Runway Change,19.2
VMC,Takeoff,Minor,2,0,1,4,181,Runway Incursion,62.0,High,Runway Change,14.3
VMC,Approach,Substantial,2,0,1,3,133,Runway Incursion,75.5,High,Runway Change,18.4
Fog,Taxi,None,2,0,1,0,145,Near Collision,70.0,High,Go Around,22.0
VMC,Approach,None,2,1,0,0,89,Medical Emergency,44.0,Medium,Continue Monitoring,10.6
VMC,Takeoff,Minor,1,0,0,1,62,Fuel Low,63.0,High,Runway Change,16.1
VMC,Taxi,None,2,0,0,1,191,Landing Gear Issue,28.5,Low,Continue Monitoring,9.1
VMC,Approach,None,2,0,0,0,77,Cabin Pressure Failure,55.0,High,Emergency Descent,12.8
Rain,Landing,Substantial,2,0,0,1,41,Medical Emergency,84.5,Critical,Priority Landing,18.2
Windy,Climb,None,2,0,1,1,133,Landing Gear Issue,52.5,Medium,Continue Monitoring,16.6
Windy,Approach,Minor,2,0,1,1,183,Fuel Low,75.5,High,Runway Change,17.6
VMC,Takeoff,Destroyed,2,0,0,0,66,Engine Failure,100.0,Critical,Priority Landing,20.9
IMC,Approach,Minor,1,0,0,1,103,Cabin Pressure Failure,83.0,Critical,Priority Landing,22.1
VMC,Climb,Minor,1,0,0,3,117,Medical Emergency,50.0,Medium,Continue Monitoring,18.2
VMC,Taxi,Minor,4,0,1,2,232,Cabin Pressure Failure,61.0,High,Emergency Descent,15.4
VMC,Takeoff,None,2,1,1,1,53,Cabin Pressure Failure,72.5,High,Emergency Descent,18.8
Windy,Approach,None,2,0,0,0,231,Near Collision,72.0,High,Go Around,19.4
Windy,Takeoff,Minor,1,0,0,1,53,Fuel Low,76.0,High,Runway Change,18.9
Fog,Landing,None,2,0,1,0,152,Fuel Low,71.0,High,Runway Change,25.3
IMC,Cruise,None,4,0,1,0,213,Fuel Low,52.0,Medium,Continue Monitoring,18.7
IMC,Taxi,None,2,0,0,3,227,Landing Gear Issue,44.5,Medium,Continue Monitoring,17.6
IMC,Approach,Substantial,2,0,1,0,144,Near Collision,100.0,Critical,Priority Landing,25.4
IMC,Cruise,None,3,0,1,1,133,Medical Emergency,45.0,Medium,Continue Monitoring,22.8
VMC,Takeoff,Minor,2,0,1,1,199,Landing Gear Issue,57.5,High,Runway Change,17.8
VMC,Approach,None,4,0,1,3,229,Runway Incursion,42.5,Medium,Continue Monitoring,7.7
VMC,Cruise,Minor,2,2,1,0,22,Cabin Pressure Failure,82.0,Critical,Priority Landing,19.8
Storm,Takeoff,None,1,0,2,2,80,Runway Incursion,77.5,High,Runway Change,23.3
IMC,Approach,None,2,0,0,1,85,Landing Gear Issue,51.5,Medium,Continue Monitoring,18.8
Storm,Climb,Minor,2,1,0,0,211,Cabin Pressure Failure,98.0,Critical,Priority Landing,30.1
VMC,Climb,Minor,1,0,1,0,24,Engine Failure,66.5,High,Holding Pattern,18.8
IMC,Takeoff,None,3,0,0,3,48,Medical Emergency,54.0,Medium,Continue Monitoring,18.6
VMC,Cruise,None,1,0,0,1,20,Bird Strike,38.0,Medium,Continue Monitoring,15.1
VMC,Climb,None,2,0,0,0,239,Near Collision,56.0,High,Go Around,16.9
VMC,Takeoff,None,4,0,0,0,27,Engine Failure,52.0,Medium,Continue Monitoring,15.4
VMC,Cruise,Minor,2,0,1,1,81,Medical Emergency,45.5,Medium,Continue Monitoring,10.7
Windy,Climb,None,2,1,0,1,139,Medical Emergency,55.5,High,Holding Pattern,18.3
VMC,Takeoff,Minor,2,1,1,1,100,Medical Emergency,64.5,High,Runway Change,13.5
Rain,Cruise,None,3,1,1,2,40,Near Collision,79.5,High,Go Around,23.2
IMC,Takeoff,Minor,2,0,0,1,114,Cabin Pressure Failure,84.5,Critical,Priority Landing,22.8
VMC,Taxi,None,2,0,0,2,203,Bird Strike,35.0,Medium,Continue Monitoring,8.5
IMC,Cruise,Minor,2,1,0,2,86,Runway Incursion,67.0,High,Holding Pattern,23.8
VMC,Taxi,None,4,0,1,2,138,Medical Emergency,29.0,Low,Continue Monitoring,7.4
Storm,Taxi,Substantial,2,0,0,1,128,Bird Strike,88.5,Critical,Priority Landing,22.1
Fog,Taxi,Minor,2,0,0,1,76,Near Collision,79.5,High,Go Around,19.2
Rain,Approach,Substantial,4,0,0,0,20,Medical Emergency,75.0,High,Runway Change,17.4
IMC,Cruise,None,2,0,1,1,212,Near Collision,70.5,High,Go Around,24.7
VMC,Landing,None,1,0,0,0,248,Runway Incursion,43.5,Medium,Continue Monitoring,13.9
Windy,Takeoff,None,2,0,0,3,137,Near Collision,79.5,High,Go Around,18.0
VMC,Taxi,None,1,0,1,2,210,Landing Gear Issue,35.5,Medium,Continue Monitoring,12.5
VMC,Climb,Minor,2,0,0,0,100,Cabin Pressure Failure,64.0,High,Emergency Descent,18.6
VMC,Takeoff,Substantial,2,0,1,0,236,Medical Emergency,72.0,High,Runway Change,16.8
Fog,Climb,Minor,2,0,1,1,150,Landing Gear Issue,68.5,High,Holding Pattern,24.5
Rain,Climb,Minor,2,0,1,1,204,Cabin Pressure Failure,82.5,Critical,Priority Landing,24.0
Fog,Takeoff,None,2,0,0,1,174,Near Collision,80.5,Critical,Priority Landing,21.8
Fog,Landing,None,2,0,0,2,232,Fuel Low,70.0,High,Runway Change,20.1
VMC,Takeoff,Substantial,2,0,0,1,148,Landing Gear Issue,71.5,High,Runway Change,16.5
Windy,Taxi,None,3,0,1,0,214,Landing Gear Issue,42.5,Medium,Continue Monitoring,11.8
VMC,Cruise,None,2,0,0,0,234,Landing Gear Issue,30.0,Medium,Continue Monitoring,10.6
Rain,Landing,Substantial,2,0,1,1,194,Medical Emergency,88.5,Critical,Priority Landing,22.0
VMC,Cruise,Destroyed,4,0,1,2,101,Runway Incursion,79.0,High,Holding Pattern,20.4
Storm,Takeoff,Minor,3,1,0,2,40,Near Collision,100.0,Critical,Priority Landing,26.9
VMC,Climb,None,1,0,1,0,114,Engine Failure,54.5,Medium,Continue Monitoring,15.2
VMC,Approach,Substantial,4,0,1,0,179,Landing Gear Issue,68.0,High,Runway Change,17.0
IMC,Landing,None,4,0,0,3,217,Cabin Pressure Failure,74.5,High,Emergency Descent,22.2
VMC,Climb,None,2,0,1,2,196,Cabin Pressure Failure,59.0,High,Emergency Descent,16.8
VMC,Cruise,None,1,1,0,0,166,Medical Emergency,38.5,Medium,Continue Monitoring,18.0
Rain,Taxi,Substantial,2,0,0,1,143,Runway Incursion,71.5,High,Runway Change,17.6
VMC,Taxi,Substantial,2,0,1,1,242,Engine Failure,77.5,High,Runway Change,21.5
Windy,Cruise,Minor,2,1,2,2,76,Medical Emergency,73.0,High,Holding Pattern,22.1
VMC,Climb,None,2,0,0,2,202,Cabin Pressure Failure,55.0,High,Emergency Descent,15.6
Rain,Climb,Minor,1,2,0,0,146,Bird Strike,83.5,Critical,Priority Landing,21.3
IMC,Approach,None,2,0,0,2,137,Bird Strike,58.0,High,Runway Change,19.3
Rain,Approach,Substantial,4,0,0,1,111,Cabin Pressure Failure,96.5,Critical,Priority Landing,21.5
IMC,Climb,None,1,0,1,0,165,Cabin Pressure Failure,70.5,High,Emergency Descent,23.8
IMC,Takeoff,None,2,0,0,2,249,Runway Incursion,56.0,High,Runway Change,17.5
Storm,Cruise,Minor,2,0,0,2,113,Runway Incursion,70.0,High,Holding Pattern,20.0
VMC,Landing,Minor,2,0,0,0,45,Engine Failure,69.0,High,Runway Change,16.0
VMC,Takeoff,Substantial,2,0,0,1,49,Medical Emergency,69.5,High,Runway Change,12.1
Rain,Cruise,None,2,0,0,0,60,Runway Incursion,43.0,Medium,Continue Monitoring,15.5
Fog,Takeoff,Substantial,2,0,0,0,113,Landing Gear Issue,87.0,Critical,Priority Landing,22.2
VMC,Climb,None,2,0,0,0,20,Engine Failure,49.0,Medium,Continue Monitoring,14.4
VMC,Approach,None,1,0,1,1,84,Runway Incursion,44.0,Medium,Continue Monitoring,11.5
Windy,Climb,Minor,2,0,1,1,179,Bird Strike,69.5,High,Holding Pattern,20.1
Rain,Climb,None,2,0,0,0,175,Runway Incursion,47.0,Medium,Continue Monitoring,12.6
